in s,C1 in V
-2.999936E-03,1.94336E-01
-2.999890E-03,9.66797E-02
-2.999844E-03,-4.98047E-02
-2.999798E-03,9.66797E-02
-2.999752E-03,4.78516E-02
-2.999706E-03,9.66797E-02
-2.999660E-03,-9.76562E-04
-2.999614E-03,-9.76562E-04
-2.999568E-03,-9.76562E-04
-2.999522E-03,1.45508E-01
-2.999476E-03,1.94336E-01
-2.999430E-03,4.78516E-02
-2.999384E-03,-9.86328E-02
-2.999338E-03,9.66797E-02
-2.999292E-03,9.66797E-02
-2.999246E-03,9.66797E-02
-2.999200E-03,9.66797E-02
-2.999154E-03,9.66797E-02
-2.999108E-03,4.78516E-02
-2.999062E-03,9.66797E-02
-2.999016E-03,9.66797E-02
-2.998970E-03,9.66797E-02
-2.998924E-03,1.45508E-01
-2.998878E-03,4.78516E-02
-2.998832E-03,4.78516E-02
-2.998786E-03,4.78516E-02
-2.998740E-03,9.66797E-02
-2.998694E-03,1.94336E-01
-2.998648E-03,-9.76562E-04
-2.998602E-03,9.66797E-02
-2.998556E-03,9.66797E-02
-2.998510E-03,1.94336E-01
-2.998464E-03,-4.98047E-02
-2.998418E-03,9.66797E-02
-2.998372E-03,-4.98047E-02
-2.998326E-03,9.66797E-02
-2.998280E-03,9.66797E-02
-2.998234E-03,-4.98047E-02
-2.998188E-03,4.78516E-02
-2.998142E-03,-9.76562E-04
-2.998096E-03,-9.76562E-04
-2.998050E-03,9.66797E-02
-2.998004E-03,1.45508E-01
-2.997958E-03,9.66797E-02
-2.997912E-03,9.66797E-02
-2.997866E-03,-9.76562E-04
-2.997820E-03,9.66797E-02
-2.997774E-03,-4.98047E-02
-2.997728E-03,4.78516E-02
-2.997682E-03,4.78516E-02
-2.997636E-03,9.66797E-02
-2.997590E-03,9.66797E-02
-2.997544E-03,9.66797E-02
-2.997498E-03,9.66797E-02
-2.997452E-03,-9.76562E-04
-2.997406E-03,9.66797E-02
-2.997360E-03,9.66797E-02
-2.997314E-03,-9.76562E-04
-2.997268E-03,9.66797E-02
-2.997222E-03,9.66797E-02
-2.997176E-03,-9.86328E-02
-2.997130E-03,-9.76562E-04
-2.997084E-03,9.66797E-02
-2.997038E-03,9.66797E-02
-2.996992E-03,-9.76562E-04
-2.996946E-03,-9.76562E-04
-2.996900E-03,4.78516E-02
-2.996854E-03,2.43164E-01
-2.996808E-03,-9.76562E-04
-2.996762E-03,9.66797E-02
-2.996716E-03,-9.76562E-04
-2.996670E-03,-4.98047E-02
-2.996624E-03,-9.76562E-04
-2.996578E-03,9.66797E-02
-2.996532E-03,9.66797E-02
-2.996486E-03,-9.76562E-04
-2.996440E-03,9.66797E-02
-2.996394E-03,9.66797E-02
-2.996348E-03,9.66797E-02
-2.996302E-03,9.66797E-02
-2.996256E-03,9.66797E-02
-2.996210E-03,4.78516E-02
-2.996164E-03,4.78516E-02
-2.996118E-03,1.45508E-01
-2.996072E-03,4.78516E-02
-2.996026E-03,-4.98047E-02
-2.995980E-03,-9.76562E-04
-2.995934E-03,9.66797E-02
-2.995888E-03,4.78516E-02
-2.995842E-03,9.66797E-02
-2.995796E-03,9.66797E-02
-2.995750E-03,9.66797E-02
-2.995704E-03,-9.76562E-04
-2.995658E-03,4.78516E-02
-2.995612E-03,4.78516E-02
-2.995566E-03,4.78516E-02
-2.995520E-03,4.78516E-02
-2.995474E-03,-9.76562E-04
-2.995428E-03,4.78516E-02
-2.995382E-03,2.43164E-01
-2.995336E-03,9.66797E-02
-2.995290E-03,9.66797E-02
-2.995244E-03,4.78516E-02
-2.995198E-03,-9.86328E-02
-2.995152E-03,9.66797E-02
-2.995106E-03,9.66797E-02
-2.995060E-03,9.66797E-02
-2.995014E-03,1.45508E-01
-2.994968E-03,9.66797E-02
-2.994922E-03,9.66797E-02
-2.994876E-03,1.94336E-01
-2.994830E-03,4.78516E-02
-2.994784E-03,9.66797E-02
-2.994738E-03,-4.98047E-02
-2.994692E-03,9.66797E-02
-2.994646E-03,4.78516E-02
-2.994600E-03,-9.76562E-04
-2.994554E-03,-4.98047E-02
-2.994508E-03,4.78516E-02
-2.994462E-03,-9.76562E-04
-2.994416E-03,2.43164E-01
-2.994370E-03,9.66797E-02
-2.994324E-03,9.66797E-02
-2.994278E-03,-4.98047E-02
-2.994232E-03,-9.76562E-04
-2.994186E-03,-4.98047E-02
-2.994140E-03,4.78516E-02
-2.994094E-03,4.78516E-02
-2.994048E-03,-9.76562E-04
-2.994002E-03,-4.98047E-02
-2.993956E-03,4.78516E-02
-2.993910E-03,-4.98047E-02
-2.993864E-03,-4.98047E-02
-2.993818E-03,9.66797E-02
-2.993772E-03,-9.76562E-04
-2.993726E-03,-4.98047E-02
-2.993680E-03,-9.76562E-04
-2.993634E-03,4.78516E-02
-2.993588E-03,4.78516E-02
-2.993542E-03,-9.86328E-02
-2.993496E-03,4.78516E-02
-2.993450E-03,4.78516E-02
-2.993404E-03,4.78516E-02
-2.993358E-03,-9.76562E-04
-2.993312E-03,4.78516E-02
-2.993266E-03,9.66797E-02
-2.993220E-03,-9.86328E-02
-2.993174E-03,2.43164E-01
-2.993128E-03,-9.86328E-02
-2.993082E-03,4.78516E-02
-2.993036E-03,1.94336E-01
-2.992990E-03,-4.98047E-02
-2.992944E-03,4.78516E-02
-2.992898E-03,4.78516E-02
-2.992852E-03,9.66797E-02
-2.992806E-03,-9.76562E-04
-2.992760E-03,-4.98047E-02
-2.992714E-03,2.43164E-01
-2.992668E-03,-9.76562E-04
-2.992622E-03,9.66797E-02
-2.992576E-03,9.66797E-02
-2.992530E-03,9.66797E-02
-2.992484E-03,-4.98047E-02
-2.992438E-03,4.78516E-02
-2.992392E-03,-9.86328E-02
-2.992346E-03,9.66797E-02
-2.992300E-03,-9.76562E-04
-2.992254E-03,4.78516E-02
-2.992208E-03,9.66797E-02
-2.992162E-03,1.94336E-01
-2.992116E-03,4.78516E-02
-2.992070E-03,9.66797E-02
-2.992024E-03,-9.76562E-04
-2.991978E-03,1.94336E-01
-2.991932E-03,4.78516E-02
-2.991886E-03,9.66797E-02
-2.991840E-03,9.66797E-02
-2.991794E-03,4.78516E-02
-2.991748E-03,-9.86328E-02
-2.991702E-03,9.66797E-02
-2.991656E-03,-9.76562E-04
-2.991610E-03,9.66797E-02
-2.991564E-03,1.45508E-01
-2.991518E-03,-4.98047E-02
-2.991472E-03,4.78516E-02
